4100	4102	4104	4106	2058	4110	4112	4114	4120	4122	4124	4126	4128	4130	4140	4142	4148	4150	4152	4154	4156	4158	4160	4162	4164	4166	4168	4170	2122	4180	2138	2172	4222	148	150	152	154	158	188	194	4296	4322	4376	4392	4394	4396	4406	4408	4410	4412	4414	4416	4418	4420	2400	2402	356	372	2420	374	380	2430	390	406	2492	2494	446	2496	2498	2508	2518	2534	2540	494	2552	2554	2556	2564	524	2584	2602	2608	2610	570	2648	2650	2652	2654	2658	2660	2670	2674	2682	2684	2686	2688	2690	2692	2694	2702	2706	2708	2712	666	2736	690	2740	2742	2744	2752	728	758	2844	2846	2852	2854	2858	2862	824	2876	2882	2884	2886	840	2892	2896	862	2910	2930	882	2936	2938	2940	2956	2970	2972	2974	2976	2980	2982	2984	2986	2988	2990	2992	2996	952	3000	3002	3008	3012	3014	3018	3020	3022	982	3032	3036	1000	1002	3052	1004	1006	3054	3056	3062	3064	1018	3068	1020	3070	1024	3072	3074	3076	1028	3078	1032	3080	3082	1034	3084	3086	1040	1044	1050	1052	3100	3102	1054	1056	3104	1058	3106	3108	1068	1070	1072	3128	1082	3132	1084	1090	3138	1094	3144	1100	1102	1106	1108	1118	1120	1122	1124	1132	1134	1138	1140	1142	1144	3202	3206	3212	3224	3226	3232	3234	3236	3238	3240	1200	1202	3254	3256	3260	1214	1216	1224	1226	1250	1252	1264	1266	1268	3320	3322	3328	1286	3352	3354	3360	3364	3438	1404	1422	3484	3490	3492	1446	3506	1460	3512	3516	3520	3528	3532	1484	3536	3540	3548	1566	1570	1572	3620	1578	3632	3634	3636	3640	3648	3652	3658	3660	3664	3668	1620	3670	3682	1640	1642	3694	1648	3702	1660	3714	3720	3722	1680	3728	3734	3740	1692	3742	1700	3748	3760	3762	1720	3768	1722	1726	1728	1730	3780	3782	3786	1738	1740	3788	1742	1746	1750	1758	1760	1762	1766	1768	1770	3820	3822	1780	3828	1786	1790	3840	1800	3862	1820	1840	1860	1864	3980	3982	3984	3986	3990	4002	4004	1962	4016	4018	4020	4022	4024	4026	4028	4030	1982	4032	4048	4050	4054	4056	2008	4066	4068	4070	4072	4076	4078	4080	4082	4084	4090	4092	4094
True	False	False	False	False	True	False	False	True	False	True	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	True	False	True	True	False	False	True	False	True	False	False	False	False	False	True	True	False	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	True	True	True	True
True	False	False	False	False	True	False	True	True	False	True	False	False	False	True	False	True	False	True	False	True	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	False	True	False	False	True	False	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	True	True	True	False	False	True	False	True	True	True	True	True
False	False	False	False	False	True	False	True	True	True	True	True	False	False	True	False	True	True	True	False	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True	False	False	False	True	True	False	False	True	False	True	True	True	False	False	False	False	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	True	True	False	False	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	True	False	False	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	False	False	False	True	False	False	False	False	True	True
True	False	False	False	False	True	False	True	False	False	True	True	False	False	True	False	True	True	True	False	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	True	True	False	True	False	False	True	False	False	False	False	False
True	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	True	False	True	False	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	True	True	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	True	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	True	True	True	True
True	False	False	False	False	True	False	True	True	False	True	True	False	False	True	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	True	True	False	False	True	False	True	False	False	True	False	True	True	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	True	True	False	True	False	True	False	False	False	True	True	False	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	True	True	False	True	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	False	True	False	True	False	True	True	True
False	True	False	True	False	True	False	True	True	False	True	True	False	False	True	False	True	True	True	False	True	True	True	True	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	True	True	False	True	False	False	True	False	False	False	True	False	True	False	True	False	False	False	False	True	False	False	False	False	True	True	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	False	True	True	False	False	False	True	True
True	True	False	True	False	True	False	True	True	True	True	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	True	True	True	True	False	False	True	False	True	False	False	True	False	True	True	True	True	False	False	False	False	True	True	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	False	True	False	False	True	True	True	True	False	True	False	True	True	False	True	True	True	True	False	True	True	True	False	True	True	True	True	True	False	True	True	False	False	False	True	False	True	True	True	True	True
True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	True	False	True	False	False	False	False	True	True	True	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	True	False	True	False	False	False	False	False	True	True	False	True	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	False	True	False	True	True	False	True	True	True	False	True	False	True	False	False	False	True	True	False	True	False	True	False	True	True	True	True	True
True	True	False	True	False	True	False	True	True	False	True	True	False	False	True	False	True	True	True	False	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	True	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	True	True	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	True	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	True	True
